"How much does a watch lose or gain per day, if its hands coincide every 65 minutes?","Hands of any accurate clock coincide after every 65 minutes $\frac{5}{11}$ of a minute i.e; ${65\frac{5}{11}}$  
  
Gain in 65 mins = (${65\frac{5}{11}}$ - 65)  
= $\frac{720}{11}$ -$\frac{715}{11}$  
=$\frac{5}{11}$
Gain in 24 hrs = ($\frac{5}{11}$) * ($\frac{1}{65}$)*(24)*60 mins  
=${10\frac{10}{143}}$ mins",CLOCKS
"Six girls are sitting on a bench in a classroom- Anitha ,Bindhu ,Ankitha,Sindhu ,Maya,Lilly . Bindhu  is to the immediate right of Anitha and  to the immediate left of Sindhu. Lilly is between Sindhu and Maya.If Maya exchange her place with Anitha, who will be sitting to the immediate left of Bindhu?","According to the 1st statement

 Anitha  Bindhu  Sindhu 

and from 2nd statement 
    Sindhu  Lilly  Maya.
   
 Anitha Bindhu Sindhu  Lilly  Maya

Possible Positions for Ankitha

Case -1 : Ankitha Anitha Bindhu Sindhu  Lilly  Maya

Case -2 : Anitha Bindhu Sindhu  Lilly  Maya  Ankitha

Maya exchange her place with Anitha.

New  Arrangements in both cases  

        Maya  Bindhu Sindhu Lilly  Anitha

Maya is immediate left of Bindhu.",LINEAR ARRANGEMENTS
"P, Q, R, S, T, U, V, and W are sitting around a circular table, facing the center. P sits third to the right of W and second to the left of Q. S sits second to the right of T. V sits second to the right of R. T is not the neighbor of Q while U is neither a neighbor of T nor of W.

Starting from P's position, if all the eight are arranged in alphabetical order in the clockwise direction, the seating position of how many members (excluding P) would not change?","Arrangements after ordering - P-U-S-W-T-V-Q-R-P

After alphabetic arrangement - P-Q-R-S-T-U-V-W-P

Hence seating position of one member T would not change (excluding P)",CIRCULAR ARRANGEMENTS
"
A . Some outside are covered
B. All covered are slow
C. No outside is slow
D. No Lock is slow
E. All outside are lock
F. Some covered are lock

In the given options, the first 2 terms are statements and 3rd term is conclusion. Find the correct option where the conclusion follows the statements","The first two sentences a statement and the last is a conclusion
If the conclusion follows the statement then it is correct

statement:
D- No lock is slow      - tick and tick    
E- All outside are lock -  tick  and cross

conclusion:
C- No outside are slow - tick and tick

In the statement outside and slow is tick and tick and in conclusion also they are tick. Hence option A is correct",SYLLOGISMS
"A. No richer is poorer
B. Some poorer are better
C. All richers are worker
D. Some workers are poorer
E. No poorer is worker
F. All better are worker
In the given options, the first 2 terms are statements and 3rd term is conclusion. Find the correct option where the conclusion follows the statements","Option 1: If one of the statements is particular the conclusion must be particular, In this option it doesn't satisfy
Option 2: If both statements are negative then no conclusion.
Option 3: Statement
A: No richer is poorer:- tick tick
B  All richer are worker:- tick cross
Common term - Rich (having atleast 1 tick)
Poorer tick worker cross in statement But in conclusion poorer tick and worker tick. Both contradict in this situation Hence False.
Option 4: B - Some poorer are better cross  cross     poorer = X
F: All better are worker  tick and cross                        worker =X
Conclusion Some worker are poorer (cross and cross)
Hence, D is the right answer
 ",SYLLOGISMS
How many minimum & maximum number of pieces will be obtained when 12 cuts are made on a cube?,"Let us assume n as no. of cuts.
The formula for Min. no. of cubes is = n+1 
The formula for Max. no. if cubes is = (nl+1)*(nb+1)*(nh+1)
Where, nl,nb,nh are no. of cuts along length,breadth and height respectively.

Here n=12, 
So, Min. no. of cubes obtained = 12 + 1 = 13
For, Max pieces, divide n(here 12) in 3 parts(nl,nh,nb) in such a way that the three parts are either equal or consecutive. 
So, for Max pieces,cuts n could be divided to = 4,4,4.
Hence Max. no. of cubes obtained = (4+1)*(4+1)*(4+1) = 125",CUBES
"A cube is decorated in such a way that one flower is placed at each corner, four flowers on each edge, five flowers at center of every face. Find the total number of flowers required to decorate the cube.","As there are 8 corners of a cube and each corner is reqd. 1 flower,
So, no. of flowers reqd. in the corners are 1*8 = 8
Given that no. of flowers required in each edge is 4, but since the corners are also the part of edge and we already placed the flowers at the corners.
So, we can place 4-2 = 2 flowers at each edge.
As there are 12 edges in a cube, flowers reqd. are 12*2 = 24
Finally we need to add 5 flowers at center of each face of a cube and cube contains 6 faces,
So flowers reqd. faces are 6*5 = 30

Therefore, total flowers reqd. for decoration are = 8+24+30 = 62",CUBES
"Param, Lorem , Rahul, Sameer, Tarun and Varun are six students studying in a class. Each of them has a different height and weight. 
The tallest is not the heaviest. Tarun is taller than only Param but lighter than Rahul. Lorem is taller than Sameer and Param and Lorem is heavier than only Tarun and Varun.
Param is lighter than only Sameer. Tarun is heavier than Varun. Sameer is taller than Varun and Lorem is not the tallest.


How many of them are heavier than Tarun?","Given Conditions: 
- Tarun is taller than only Param but lighter than Rahul. 
- Lorem is taller than Sameer and Param. 
- Lorem is heavier than only Tarun and Varun. 
- Param is lighter than only Sameer. 
- Tarun is heavier than Varun. 
- Sameer is taller than Varun. 
- Lorem is not the tallest. 

By analyzing the above conditions, we get the arrangement as: 

According to Height: Rahul>Lorem>Sameer>Varun>Tarun>Param
According to Weight: Sameer>Param>Rahul>Lorem>Tarun>Varun

So, according to above observations:
Sameer, Param, Rahul and Lorem, are heavier than Tarun. 
Hence answer should be 4. (None of the options)",PUZZLES
"Param, Lorem , Rahul, Sameer, Tarun and Varun are six students studying in a class. Each of them has a different height and weight. 
The tallest is not the heaviest. Tarun is taller than only Param but lighter than Rahul. Lorem is taller than Sameer and Param and Lorem is heavier than only Tarun and Varun.
Param is lighter than only Sameer. Tarun is heavier than Varun. Sameer is taller than Varun and Lorem is not the tallest.

How many of them are shorter than Lorem?","Given Conditions: 
- Tarun is taller than only Param but lighter than Rahul. 
- Lorem is taller than Sameer and Param. 
- Lorem is heavier than only Tarun and Varun. 
- Param is lighter than only Sameer. 
- Tarun is heavier than Varun. 
- Sameer is taller than Varun. 
- Lorem is not the tallest. 

By analyzing the above conditions, we get the arrangement as: 

According to Height: Rahul>Lorem>Sameer>Varun>Tarun>Param
According to Weight: Sameer>Param>Rahul>Lorem>Tarun>Varun

So, according to above observations:
Sameer, Varun, Tarun and Param, are shorter than Lorem. 
Hence answer should be 4. ",PUZZLES
"QUESTION: Who among Bharath, Somu, Akash and Dhanush is the youngest?
STATEMENTS:
Statement I: Bharath is elder than Somu. Dhanush is younger than Somu.
Statement II: Akash is younger than Somu and elder than Dhanush.
","As per the question we should find who is the youngest among Bharath,Somu, Akash and Dhanush.
Considering the statement I;
Bharath is elder than Somu. Dhanush is younger than Somu.
=>   Bharath > Somu >Dhanush

Considering the statement I;
 Akash is younger than Somu and elder than Dhanush.
=>   Bharath > Somu >Akash>Dhanush

We can conclude Dhanush is youngest
So,Both I and II are sufficient.",DATA SUFFICIENCY
"QUESTION: Two trains are travelling towards each other. What is the distance between them just before 30 minutes they meet?
STATEMENTS:
I. They were originally 100 km apart
II. Speed of a train A is 30 km / hr and speed of train B is 40 km /hr apart."," Using II we can.
Since the trains are going to meet 30 minutes, which means, the relative speed=30+40 = 70 km/hr.
So the gap = speed x time. So we can find the distance.
=>Convert 30 minutes to hours: 30 minutes = 0.5 hours
=>Multiply the relative speed by the time remaining: 70 km/hr * 0.5 hours = 35 km
But in the statement - I already given :
They were originally 100 km apart
So , 100 - 35 = 65 km
So ,they travelled 65 km before 30 minutes they meet.
Therefore Both I and II are sufiicient.",DATA SUFFICIENCY
